C1,C2,C3,C4,C5,M,O1,O2,O3,P1,P2,P3,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,SE1,SE2,SE3,SE4,SE5,day,hora,point,sentido,survey,vh
0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,2,146,D,7,6
2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,146,D,7,8
0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,146,C,7,8
2,1,0,0,0,0,1,0,0,9,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,5,146,C,7,19
1,6,1,4,3,6,6,0,0,9,1,4,0,0,0,0,1,0,0,1,0,0,2,2,1,6,0,0,0,1,6,55,C,7,54
1,2,1,0,1,2,1,0,0,13,2,8,0,0,0,0,0,0,0,1,3,0,1,7,3,7,0,0,2,1,7,55,C,7,55
1,6,0,0,1,4,1,0,0,13,1,4,0,0,0,0,0,0,0,0,2,0,0,3,4,3,0,0,0,1,6,55,D,7,43
2,3,0,2,1,6,0,1,0,15,1,9,0,0,0,0,0,0,0,1,7,0,0,13,3,8,8,0,5,1,7,55,D,7,85
3,3,0,0,0,5,0,0,0,28,1,7,0,0,0,0,0,0,0,0,2,0,1,5,0,10,0,0,0,1,8,55,C,7,65
3,3,0,0,0,5,1,0,0,25,2,16,0,0,0,0,0,0,0,0,2,0,1,3,2,12,0,0,1,1,9,55,C,7,76
3,6,0,0,0,5,0,0,0,12,0,11,0,0,0,0,0,0,0,2,11,2,0,9,1,0,8,0,2,1,8,55,D,7,72
1,4,0,0,0,2,1,0,0,18,3,12,0,0,0,0,0,0,0,0,4,0,1,8,5,3,5,0,1,1,9,55,D,7,68
4,4,0,0,0,1,0,1,0,18,1,10,0,0,0,0,0,0,0,0,2,0,1,4,0,6,0,0,1,1,10,55,C,7,53
2,5,0,3,0,2,0,0,0,13,1,5,0,0,0,0,0,0,0,0,0,0,0,5,1,7,0,0,1,1,11,55,C,7,45
1,2,0,2,0,3,2,0,0,24,5,11,0,0,0,0,1,0,0,1,3,0,1,7,6,3,3,0,0,1,10,55,D,7,75
4,3,1,3,0,8,0,0,0,23,1,13,0,1,0,0,0,0,0,2,2,0,2,12,2,0,3,0,1,1,11,55,D,7,81
0,0,0,0,0,10,0,2,1,43,0,0,3,0,0,0,0,0,0,0,0,1,2,10,1,1,4,2,8,1,12,55,C,7,88
2,1,0,0,0,9,5,0,0,42,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,6,146,D,7,70
1,1,0,0,0,3,0,0,0,49,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,7,146,D,7,68
2,1,0,1,0,2,0,0,0,25,0,8,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,4,8,146,C,7,44
1,4,0,0,0,4,0,0,0,46,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,146,C,7,63
2,1,0,0,0,1,0,0,0,35,1,24,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,8,146,D,7,67
1,1,0,0,0,5,0,0,0,49,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,9,146,D,7,68
3,1,1,1,0,2,0,0,0,48,0,10,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,4,10,146,C,7,74
1,2,0,1,1,5,0,0,0,46,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,11,146,C,7,69
2,4,0,0,0,1,0,0,0,45,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,10,146,D,7,65
1,4,0,1,0,1,2,0,0,35,0,9,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,11,146,D,7,56
3,5,0,0,0,7,2,0,0,70,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,12,146,C,7,100
3,4,0,0,0,3,0,0,0,64,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,13,146,C,7,86
3,3,0,1,0,3,0,0,0,34,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,12,146,D,7,58
