cod_mun_origem,cod_mun_destino,total_passagens_2019,total_passagens_2020,tempo_medio_2019,tempo_medio_2020
1501402,1500602,17000.0,7869.0,71,76
1302603,3509502,16992.0,9169.0,229,223
2611606,2111300,16928.0,12485.0,123,132
1501402,3106200,16892.0,8192.0,185,180
1303403,1302603,16859.0,9547.0,68,73
2111300,2611606,16776.0,12622.0,118,127
5002704,3509502,16700.0,7884.0,91,90
3550308,1600303,16683.0,11682.0,259,-2
5208707,3205309,16653.0,8764.0,-2,112
1600303,3550308,16580.0,11517.0,-2,-2
3205309,5208707,16508.0,8789.0,-2,-2
3106200,1501402,16433.0,8114.0,187,182
2913606,2927408,16428.0,,46,
1721000,5208707,16406.0,8149.0,91,86
5208707,1721000,16395.0,8187.0,93,88
3509502,5002704,16322.0,7932.0,97,96
5002704,3106200,16211.0,7836.0,108,107
4205407,1501402,16203.0,13518.0,-2,-2
2927408,4208203,16039.0,7603.0,-2,-2
1200401,3550308,16011.0,11901.0,239,247
4314902,1302603,15953.0,12216.0,-2,-2
4106902,1302603,15870.0,12113.0,-2,-2
1501402,2927408,15830.0,9542.0,-2,-2
3509502,4209102,15811.0,,78,
2927408,2913606,15718.0,,49,
4108304,2927408,15714.0,7802.0,-2,-2
4314902,3543402,15714.0,,-2,
3509502,1302603,15713.0,8979.0,230,224
2507507,3106200,15637.0,9446.0,156,155
4209102,3509502,15575.0,,81,
2927408,1501402,15534.0,9425.0,-2,-2
3106200,5002704,15491.0,7515.0,-2,116
3543402,4314902,15430.0,,-2,
4208203,3509502,15378.0,8104.0,67,67
3106200,2507507,15238.0,9093.0,156,154
4106902,1501402,15203.0,11935.0,-2,-2
3509502,4208203,15123.0,8170.0,69,67
2927408,4108304,15071.0,8236.0,-2,-2
4208203,2927408,15049.0,7109.0,-2,161
1304062,1302603,14993.0,,107,
2611101,3509502,14965.0,7734.0,158,156
4104808,4106902,14827.0,,81,
1302603,1303403,14823.0,8325.0,74,87
2307304,3509502,14744.0,8522.0,177,178
3509502,2611101,14647.0,7293.0,154,150
4314902,4113700,14586.0,,-2,
5002704,4106902,14571.0,11416.0,86,84
4314902,3170206,14571.0,7095.0,-2,-2
4106902,4104808,14560.0,,88,
4113700,4314902,14548.0,,-2,
4108304,3106200,14494.0,6043.0,-2,112
4106902,5002704,14412.0,11266.0,95,90
3170206,4314902,14412.0,6935.0,-2,-2
5103403,3106200,14388.0,10773.0,128,125
1501402,4314902,14333.0,11377.0,-2,-2
3106200,2704302,14216.0,15338.0,135,133
2704302,3106200,14120.0,15766.0,135,131
3509502,2307304,14117.0,9290.0,-2,172
3170206,4106902,14114.0,5722.0,-2,-2
3106200,4108304,14069.0,6051.0,-2,137
3106200,5103403,14006.0,10282.0,135,133
4106902,3170206,13963.0,5604.0,-2,-2
5208707,3543402,13896.0,,89,
3106200,3143302,13886.0,7244.0,71,72
3143302,3106200,13880.0,7128.0,64,65
5002704,4314902,13873.0,9636.0,138,-2
3543402,5208707,13862.0,,93,
4314902,5002704,13739.0,9509.0,-2,-2
5300108,1721000,13650.0,7944.0,77,80
4314902,1501402,13645.0,11143.0,-2,-2
2507507,4314902,13555.0,8830.0,-2,-2
3543402,4106902,13513.0,,-2,
4106902,3543402,13493.0,,-2,
4314902,2507507,13438.0,8735.0,-2,-2
1721000,5300108,13436.0,7784.0,75,77
5003702,3509502,13404.0,,128,
1302603,3106200,13403.0,8433.0,-2,217
3543402,5300108,13392.0,,100,
2111300,4314902,13342.0,6861.0,-2,-2
2111300,3106200,13299.0,10203.0,171,165
3106200,1302603,13273.0,8207.0,-2,-2
1302603,4205407,13241.0,12299.0,-2,-2
3509502,5003702,13156.0,,138,
2611606,5103403,13151.0,17618.0,219,208
5300108,3543402,13102.0,,99,
2611606,2800308,13063.0,6550.0,81,80
3106200,2111300,13004.0,10077.0,169,163
2800308,2611606,12993.0,6476.0,77,77
5103403,3509502,12983.0,9336.0,124,119
1504208,1501402,12946.0,7712.0,61,66
4314100,3550308,12922.0,,-2,
2408102,4314902,12854.0,10820.0,-2,-2
3550308,4314100,12824.0,,-2,
4314902,2111300,12812.0,6989.0,-2,-2
3550308,1506807,12795.0,10413.0,-2,-2
1721000,3304557,12730.0,8921.0,-2,163
